action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,399057,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '21.88', 'le': '0.41', 'lle': '4.77', 'sei': '11.89'}",CHEMBL370805,COCAINE,CHEMBL370805,6.64,1,http://www.openphacts.org/units/Nanomolar,117057,=,1,1,=,,IC50,nM,,230.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.23
,,403104,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,c1ccc(CCCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '15.49', 'le': '0.28', 'lle': '1.16', 'sei': '27.09'}",CHEMBL421867,,CHEMBL421867,6.64,0,http://www.openphacts.org/units/Nanomolar,117056,=,1,1,=,,IC50,nM,,230.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.23
,,403254,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc2c1C1=NCCN1C2(O)c1ccc(Cl)cc1,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL336940,,CHEMBL336940,8.33,0,http://www.openphacts.org/units/Nanomolar,253108,=,1,1,=,,IC50,nM,,4.7,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,4.7
,,404692,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(CCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '15.00', 'le': '0.28', 'lle': '1.22', 'sei': '27.34'}",CHEMBL66112,,CHEMBL66112,6.70,0,http://www.openphacts.org/units/Nanomolar,117065,=,1,1,=,,IC50,nM,,200.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.2
,,404823,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL133043,,CHEMBL133043,8.39,0,http://www.openphacts.org/units/Nanomolar,253098,=,1,1,=,,IC50,nM,,4.1,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,4.1
,,405992,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,OC1(c2ccccc2)c2ccccc2C2=NCCN21,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL133902,,CHEMBL133902,8.55,0,http://www.openphacts.org/units/Nanomolar,253116,=,1,1,=,,IC50,nM,,2.8,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,2.8
,,409469,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,c1ccc(CN2CCC(NCCOC(c3ccccc3)c3ccccc3)CC2)cc1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '17.63', 'le': '0.32', 'lle': '2.01', 'sei': '28.82'}",CHEMBL63703,,CHEMBL63703,7.06,0,http://www.openphacts.org/units/Nanomolar,117059,=,1,1,=,,IC50,nM,,87.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.087
,,415621,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,c1ccc(CCCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '15.84', 'le': '0.29', 'lle': '1.28', 'sei': '28.63'}",CHEMBL67203,,CHEMBL67203,7.01,0,http://www.openphacts.org/units/Nanomolar,117066,=,1,1,=,,IC50,nM,,97.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.097
,,417734,[],CHEMBL751372,Inhibition of [3H]norepinephrine uptake in HEK cells expressing human NET,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,,,CHEMBL1136450,Bioorg Med Chem Lett,2003.0,"{'bei': '23.73', 'le': '0.45', 'lle': '5.07', 'sei': '9.88'}",CHEMBL132683,,CHEMBL132683,6.91,0,http://www.openphacts.org/units/Nanomolar,254385,=,1,1,=,,IC50,nM,,122.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,122.0
,,421389,[],CHEMBL751372,Inhibition of [3H]norepinephrine uptake in HEK cells expressing human NET,B,,,BAO_0000190,BAO_0000219,cell-based format,NCCc1ccc(O)c(O)c1,,,CHEMBL1136450,Bioorg Med Chem Lett,2003.0,"{'bei': '53.39', 'le': '1.02', 'lle': '7.58', 'sei': '12.30'}",CHEMBL59,DOPAMINE,CHEMBL59,8.18,0,http://www.openphacts.org/units/Nanomolar,254390,=,1,1,=,,IC50,nM,,6.63,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,6.63
,,422045,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL130477,,CHEMBL130477,8.31,0,http://www.openphacts.org/units/Nanomolar,253094,=,1,1,=,,IC50,nM,,4.9,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,4.9
,,422062,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,OC1(c2ccc(Cl)cc2)c2cc(Cl)c(Cl)cc2C2=NCCN21,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL132955,,CHEMBL132955,8.00,0,http://www.openphacts.org/units/Nanomolar,253111,=,1,1,=,,IC50,nM,,10.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,10.0
,,422903,[],CHEMBL751373,Inhibition of [3H]norepinephrine uptake in HEK cells expressing human NET,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1136450,Bioorg Med Chem Lett,2003.0,"{'bei': '22.14', 'le': '0.42', 'lle': '4.85', 'sei': '12.03'}",CHEMBL370805,COCAINE,CHEMBL370805,6.72,0,http://www.openphacts.org/units/Nanomolar,254382,=,1,1,=,,IC50,nM,,192.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,192.0
,,426644,[],CHEMBL751372,Inhibition of [3H]norepinephrine uptake in HEK cells expressing human NET,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)C1C(c2ccc(OC)c(OC)c2)CC2CCC1N2C,,,CHEMBL1136450,Bioorg Med Chem Lett,2003.0,"{'bei': '18.28', 'le': '0.35', 'lle': '3.40', 'sei': '12.16'}",CHEMBL335423,,CHEMBL335423,5.84,0,http://www.openphacts.org/units/Nanomolar,254389,=,1,1,=,,IC50,nM,,1452.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,1452.0
,,427106,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,c1ccc(CCCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '16.53', 'le': '0.30', 'lle': '1.59', 'sei': '29.87'}",CHEMBL67078,,CHEMBL67078,7.32,0,http://www.openphacts.org/units/Nanomolar,117063,=,1,1,=,,IC50,nM,,48.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.048
,,427247,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c(c1)C(O)(c1ccc(Cl)cc1)N1CCN=C21,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL132082,,CHEMBL132082,8.84,0,http://www.openphacts.org/units/Nanomolar,253109,=,1,1,=,,IC50,nM,,1.46,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,1.46
,,428352,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(CCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '15.05', 'le': '0.28', 'lle': '1.24', 'sei': '27.43'}",CHEMBL417035,,CHEMBL417035,6.72,0,http://www.openphacts.org/units/Nanomolar,117055,=,1,1,=,,IC50,nM,,190.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.19
,,428362,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(CCc1ccc(F)cc1)CC1CCCN(CCOC(c2ccccc2)c2ccccc2)C1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '14.02', 'le': '0.26', 'lle': '0.64', 'sei': '41.09'}",CHEMBL69380,,CHEMBL69380,6.46,0,http://www.openphacts.org/units/Nanomolar,117064,=,1,1,=,,IC50,nM,,350.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.35
,,428466,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc2c1C(O)(c1ccc(Cl)cc1)N1CCN=C21,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL132954,,CHEMBL132954,8.76,0,http://www.openphacts.org/units/Nanomolar,253110,=,1,1,=,,IC50,nM,,1.73,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,1.73
,,430894,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,Clc1ccc(C2c3ccccc3C3=NCCN32)cc1,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL336613,,CHEMBL336613,8.16,0,http://www.openphacts.org/units/Nanomolar,253129,=,1,1,=,,IC50,nM,,6.9,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,6.9
,,475494,[],CHEMBL750496,Compound was tested for the inhibition of norepinephrine (NE) reuptake,F,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCC2CCN(Cc3cc4ccccc4s3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1136002,J Med Chem,2002.0,,CHEMBL137020,,CHEMBL137020,6.58,0,http://www.openphacts.org/units/Nanomolar,264274,=,1,1,=,,IC50,nM,,260.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,260.0
,,484171,[],CHEMBL750496,Compound was tested for the inhibition of norepinephrine (NE) reuptake,F,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1136002,J Med Chem,2002.0,,CHEMBL281594,VANOXERINE,CHEMBL281594,7.10,0,http://www.openphacts.org/units/Nanomolar,264267,=,1,1,=,,IC50,nM,,79.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,79.0
,,500588,[],CHEMBL750496,Compound was tested for the inhibition of norepinephrine (NE) reuptake,F,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCC2CCN(Cc3ccc4ccccc4c3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1136002,J Med Chem,2002.0,,CHEMBL416409,,CHEMBL416409,7.03,0,http://www.openphacts.org/units/Nanomolar,264271,=,1,1,=,,IC50,nM,,93.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,93.0
,,512434,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CCCN(c1ccncc1)n1ccc2cc(Br)ccc21,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL347914,,CHEMBL347914,5.58,0,http://www.openphacts.org/units/Nanomolar,302223,=,1,1,=,,IC50,nM,,2600.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,2.6
,,512443,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CCCN(c1ccncc1)n1ncc2ccccc21.O=C(O)/C=C/C(=O)O,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL346142,,CHEMBL1184359,5.85,0,http://www.openphacts.org/units/Nanomolar,302208,=,1,1,=,,IC50,nM,,1400.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,1.4
,,512450,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CCCN(c1cc(Cl)ncn1)n1ccc2ccccc21,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL154735,,CHEMBL154735,5.58,0,http://www.openphacts.org/units/Nanomolar,302201,=,1,1,=,,IC50,nM,,2600.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,2.6
,,512458,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CCCCN(c1ccncc1)n1ccc2ccccc21,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL155109,,CHEMBL155109,6.37,0,http://www.openphacts.org/units/Nanomolar,302198,=,1,1,=,,IC50,nM,,430.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.43
,,513823,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,C#CCN(c1ccncc1)n1ccc2ccccc21,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL348034,,CHEMBL348034,6.17,0,http://www.openphacts.org/units/Nanomolar,302226,=,1,1,=,,IC50,nM,,680.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.68
,,515138,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,c1ccc2c(c1)ccn2Nc1ccncc1,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL154488,,CHEMBL154488,5.60,0,http://www.openphacts.org/units/Nanomolar,302190,=,1,1,=,,IC50,nM,,2500.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,2.5
,,515364,[],CHEMBL751375,Inhibition of [3H]- NE uptake in HEK cells expressing norepinephrine transporter,F,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(C(OCCNCCCNCCc2ccccc2)c2ccc(F)cc2)cc1,,,CHEMBL1132179,J Med Chem,1999.0,,CHEMBL121611,,CHEMBL121611,6.94,0,http://www.openphacts.org/units/Nanomolar,230402,=,1,1,=,,IC50,nM,,116.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,116.0
,,517621,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CN(c1ccncc1)n1ccc2cc([N+](=O)[O-])ccc21,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL157902,,CHEMBL157902,,0,http://www.openphacts.org/units/Nanomolar,302221,>,1,1,>,,IC50,nM,,30000.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,30.0
,,517788,[],CHEMBL751375,Inhibition of [3H]- NE uptake in HEK cells expressing norepinephrine transporter,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C1CN(CCc2ccccc2)CCN1CCOC(c1ccc(F)cc1)c1ccc(F)cc1,,,CHEMBL1132179,J Med Chem,1999.0,,CHEMBL122859,,CHEMBL122859,,0,http://www.openphacts.org/units/Nanomolar,230400,>,1,1,>,,IC50,nM,,10.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,10.0
,,518949,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CCCN(c1ccnc2cc(Cl)ccc12)n1ccc2ccccc21.O=C(O)/C=C/C(=O)O,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL152748,,CHEMBL1181031,5.16,0,http://www.openphacts.org/units/Nanomolar,302202,=,1,1,=,,IC50,nM,,6900.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,6.9
,,519088,[],CHEMBL751375,Inhibition of [3H]- NE uptake in HEK cells expressing norepinephrine transporter,F,,,BAO_0000190,BAO_0000219,cell-based format,CN(CCCc1ccccc1)CCCN(C)CCOC(c1ccccc1)c1ccccc1,,,CHEMBL1132179,J Med Chem,1999.0,,CHEMBL123252,,CHEMBL123252,6.84,0,http://www.openphacts.org/units/Nanomolar,230411,=,1,1,=,,IC50,nM,,143.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,143.0
,,520203,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CCCN(c1ccncn1)n1ccc2ccccc21,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL345251,,CHEMBL345251,5.85,0,http://www.openphacts.org/units/Nanomolar,302200,=,1,1,=,,IC50,nM,,1400.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,1.4
,,521552,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CN(c1ccncc1)n1ccc2ccccc21,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL152842,,CHEMBL152842,6.00,0,http://www.openphacts.org/units/Nanomolar,302193,=,1,1,=,,IC50,nM,,1000.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,1.0
,,521564,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CCCN(c1ccncc1)n1cc(CC)c2ccccc21,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL154228,,CHEMBL154228,5.68,0,http://www.openphacts.org/units/Nanomolar,302215,=,1,1,=,,IC50,nM,,2100.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,2.1
,,522880,[],CHEMBL806826,Inhibitory activity against norepinephrine (NE) uptake in rat whole brain synaptosome preparation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CCCC(c1ccncc1)n1ccc2ccccc21,,,CHEMBL1129670,J Med Chem,1996.0,,CHEMBL347199,,CHEMBL347199,6.17,0,http://www.openphacts.org/units/Nanomolar,302214,=,1,1,=,,IC50,nM,,670.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.67
